filepath,label,class_name
OS Collected Data/Osteoporosis/Osteoporosis 457.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 117.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 587.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 452.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 25.JPEG,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 380.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 29.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 546.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 581.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 386.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 418.jpg,0,Normal
OS Collected Data/Normal/Normal 349.png,0,Normal
OS Collected Data/Normal/Normal 423.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 454.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 527.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 582.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 534.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 484.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 446.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 515.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 16.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 467.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 316.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 347.png,0,Normal
OS Collected Data/Normal/Normal 123.JPEG,0,Normal
OS Collected Data/Normal/Normal 139.jpg,0,Normal
OS Collected Data/Normal/Normal 107.jpg,0,Normal
OS Collected Data/Normal/Normal 183.png,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 557.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 585.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 208.JPEG,0,Normal
OS Collected Data/Normal/Normal 380.png,0,Normal
OS Collected Data/Normal/Normal 3.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 102.png,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 540.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 142.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 371.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 509.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 487.jpg,0,Normal
OS Collected Data/Normal/Normal 419.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 124.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 548.jpg,0,Normal
OS Collected Data/Normal/Normal 15.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 181.png,1,Osteoporosis
OS Collected Data/Normal/Normal 182.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 552.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 585.jpg,0,Normal
OS Collected Data/Normal/Normal 21.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 338.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 497.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 597.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 575.jpg,0,Normal
OS Collected Data/Normal/Normal 579.jpg,0,Normal
OS Collected Data/Normal/Normal 219.JPEG,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 385.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 115.JPEG,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 104.png,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 160.png,1,Osteoporosis
OS Collected Data/Normal/Normal 547.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 507.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 583.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 108.png,1,Osteoporosis
OS Collected Data/Normal/Normal 562.jpg,0,Normal
OS Collected Data/Normal/Normal 102.jpg,0,Normal
OS Collected Data/Normal/Normal 500.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 352.png,1,Osteoporosis
OS Collected Data/Normal/Normal 508.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 145.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 556.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 593.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 33.jpg,0,Normal
OS Collected Data/Normal/Normal 594.jpg,0,Normal
OS Collected Data/Normal/Normal 492.jpg,0,Normal
OS Collected Data/Normal/Normal 352.png,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 442.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 395.JPEG,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 438.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 434.jpg,0,Normal
OS Collected Data/Normal/Normal 454.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 528.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 473.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 468.jpg,0,Normal
OS Collected Data/Normal/Normal 490.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 520.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 539.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 565.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 174.jpg,0,Normal
OS Collected Data/Normal/Normal 221.JPEG,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 114.JPEG,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 152.png,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 431.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 466.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 29.png,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 548.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 506.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 134.JPEG,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 135.jpg,1,Osteoporosis
